,method,comp,suff
0,ablation,0.00956273078918457,-0.00024139881134033203
1,ablation,0.9782740511000156,7.492303848266602e-05
2,ablation,0.025807619094848633,0.05887925624847412
3,ablation,0.311263226903975,-0.6833384037017822
4,ablation,0.9584463550709188,-0.03835195302963257
5,ablation,0.24765461683273315,0.8314890414476395
6,ablation,0.006008803844451904,0.00012731552124023438
7,ablation,0.00969630479812622,2.3484230041503906e-05
8,ablation,0.002207338809967041,0.00031131505966186523
9,ablation,0.0050545334815979,0.9895763066597283
10,ablation,0.00016558170318603516,0.0010133981704711914
11,ablation,0.9770104177296162,-0.0013703703880310059
12,ablation,0.01589149236679077,-7.468461990356445e-05
13,ablation,0.0008432865142822266,0.0005193948745727539
14,ablation,0.003721773624420166,-0.0007446408271789551
15,ablation,0.001107931137084961,0.00036275386810302734
16,ablation,0.775497168302536,-9.870529174804688e-05
17,ablation,0.9934406634420156,-0.00018364191055297852
18,ablation,0.00024819374084472656,0.14292728900909424
19,ablation,0.9803906716406345,-0.00032085180282592773
20,ablation,0.0014586448669433594,-0.00031435489654541016
21,ablation,0.12085598707199097,0.005460977554321289
22,ablation,0.992344876518473,0.9941207738011144
23,ablation,0.9792048316448927,0.8075537532567978
24,ablation,0.9331323653459549,0.9635106809437275
25,ablation,0.0011253952980041504,0.0033942461013793945
26,ablation,0.005376667249947786,-0.08152076043188572
27,ablation,0.020936250686645508,-0.0005117058753967285
28,ablation,0.7241830825805664,0.0013329386711120605
29,ablation,0.15142440795898438,-4.7326087951660156e-05
30,ablation,0.6308929920196533,-0.0848076343536377
31,ablation,0.025641143321990967,2.2590160369873047e-05
32,ablation,0.19048535823822021,-0.004197120666503906
33,ablation,0.026740074157714844,0.01703023910522461
34,ablation,0.9894839553162456,0.0020966529846191406
35,ablation,0.003802001476287842,0.00017517805099487305
36,ablation,0.6333095729351044,0.00019925832748413086
37,ablation,0.0003552436828613281,0.09876477718353271
38,ablation,0.012520372867584229,-0.0001595020294189453
39,ablation,0.00037097930908203125,0.0001690983772277832
40,ablation,0.34656959772109985,0.002359747886657715
41,ablation,0.9824117310345173,-0.0020516514778137207
42,ablation,0.002821207046508789,-1.5854835510253906e-05
43,ablation,0.8948407273273915,-0.10364705324172974
44,ablation,0.9725122740492225,-0.0223577618598938
45,ablation,0.008358895778656006,-4.649162292480469e-05
46,ablation,0.006401240825653076,0.0011461973190307617
47,ablation,0.9329329207539558,-0.002076447010040283
48,ablation,0.9911143151111901,-0.0016199946403503418
49,ablation,0.007198333740234375,-4.023313522338867e-05
50,ablation,0.8511947840452194,0.13172698020935059
51,ablation,0.11980217695236206,-7.051229476928711e-05
52,ablation,0.003771364688873291,-4.953145980834961e-05
53,ablation,0.002440867305267602,-0.9957271793391556
54,ablation,0.9762526340782642,-0.014711380004882812
55,ablation,0.5763762891292572,9.554624557495117e-05
56,ablation,2.9861927032470703e-05,7.063150405883789e-05
57,ablation,0.0001308917999267578,0.0002327561378479004
58,ablation,0.9758629724383354,-0.0017194747924804688
59,ablation,0.0005828738212585449,0.1585199236869812
60,ablation,0.0081559419631958,-4.172325134277344e-06
61,ablation,0.34071826934814453,-0.0012827515602111816
62,ablation,0.8830485492944717,0.2243032455444336
63,ablation,0.9648397769778967,0.03198343515396118
64,ablation,0.0015624761581420898,0.01463097333908081
65,ablation,0.04333072900772095,0.001315295696258545
66,ablation,0.01787567138671875,0.0003127455711364746
67,ablation,0.9940950707532465,-0.0024771690368652344
68,ablation,0.0027510523796081543,-1.2993812561035156e-05
69,ablation,0.0025678277015686035,0.019485056400299072
70,ablation,0.007781803607940674,2.187490463256836e-05
71,ablation,0.016797244548797607,0.0001569986343383789
72,ablation,0.0006792545318603516,0.00010985136032104492
73,ablation,0.0002478361129760742,2.8431415557861328e-05
74,ablation,0.0017323493957519531,0.041665732860565186
75,ablation,0.31478285789489746,-0.0003675222396850586
76,ablation,0.9789678771048784,0.025420784950256348
77,ablation,0.61071470141178,-0.38489097356796265
78,ablation,0.015027999877929688,0.9970242218114436
79,ablation,0.1275794506072998,-0.003658294677734375
80,ablation,5.501508712768555e-05,0.9333520978689194
81,ablation,0.9794299462810159,0.018573224544525146
82,ablation,0.1747933030128479,0.12271630764007568
83,ablation,0.03477132320404053,-8.040666580200195e-05
84,ablation,0.015344619750976562,0.0031172633171081543
85,ablation,0.8556452542543411,0.012791097164154053
86,ablation,0.14622050523757935,-0.004563391208648682
87,ablation,0.00812619924545288,0.006624996662139893
88,ablation,0.9797850605100393,0.002925097942352295
89,ablation,0.7798168584704399,-0.15375477075576782
90,ablation,0.012009959667921066,0.014856666326522827
91,ablation,0.0043656229972839355,1.430511474609375e-05
92,ablation,0.15230542421340942,-0.00028383731842041016
93,ablation,0.011739850044250488,6.240606307983398e-05
94,ablation,0.7466693818569183,0.00022274255752563477
95,ablation,0.0007544755935668945,0.014806985855102539
96,ablation,0.0006565451622009277,0.00033146142959594727
97,ablation,0.015502870082855225,-0.00016176700592041016
98,ablation,0.0010250210762023926,-9.363889694213867e-05
99,ablation,0.004345059394836426,0.00018650293350219727
100,ablation,0.9484271556138992,-0.006265163421630859
101,ablation,0.0021202564239501953,5.441904067993164e-05
102,ablation,0.9965067461598665,-0.0007147789001464844
103,ablation,0.015658438205718994,0.0002652406692504883
104,ablation,0.9941662040073425,-0.00319671630859375
105,ablation,0.9764636643230915,0.0010374784469604492
106,ablation,0.012952625751495361,-2.7060508728027344e-05
107,ablation,0.9952436373569071,-0.000568091869354248
108,ablation,0.9861960466951132,-0.004747629165649414
109,ablation,0.48546892404556274,-0.0021058320999145508
110,ablation,0.9891915703192353,-4.76837158203125e-07
111,ablation,0.5393660629633814,-0.3653180003166199
112,ablation,0.0006200075149536133,0.08558177947998047
113,ablation,0.0991331934928894,0.11527353525161743
114,ablation,0.007167398929595947,0.0020467042922973633
115,ablation,0.004199326038360596,8.821487426757812e-06
116,ablation,0.8452100604772568,0.0016498565673828125
117,ablation,0.0013341307640075684,0.0002595186233520508
118,ablation,0.8218089789152145,0.5315285921096802
119,ablation,0.01062879990786314,-0.9866086151450872
120,ablation,0.005025386810302734,0.0002697110176086426
121,ablation,0.9856088925153017,-0.004930615425109863
122,ablation,0.21000796556472778,0.029881954193115234
123,ablation,0.00010675191879272461,9.447336196899414e-05
